ENDW,REG,ENDWRES,SCEN,Value
AEZ10,E_Asia,pe,BAU,55.687225342
AEZ11,E_Asia,pe,BAU,48.199123383
AEZ12,E_Asia,pe,BAU,16.996732712
AEZ13,E_Asia,pe,BAU,61.731208801
AEZ14,E_Asia,pe,BAU,57.767726898
AEZ15,E_Asia,pe,BAU,59.695640564
AEZ16,E_Asia,pe,BAU,16.82267952
AEZ17,E_Asia,pe,BAU,16.82267952
AEZ18,E_Asia,pe,BAU,16.82267952
UnSkLab,E_Asia,pe,BAU,13.565223694
SkLab,E_Asia,pe,BAU,18.263189316
Capital,E_Asia,pe,BAU,-15.811514854
NatRes,E_Asia,pe,BAU,199.34173584
AEZ1,EGY,pe,BAU,106.43872833
AEZ2,EGY,pe,BAU,1.17010360000000E+0008
AEZ3,EGY,pe,BAU,1.17010360000000E+0008
AEZ4,EGY,pe,BAU,1.17010360000000E+0008
AEZ5,EGY,pe,BAU,1.17010360000000E+0008
AEZ6,EGY,pe,BAU,194.90588379
AEZ7,EGY,pe,BAU,325.73010254
AEZ8,EGY,pe,BAU,279.62902832
AEZ9,EGY,pe,BAU,1.17010360000000E+0008
AEZ10,EGY,pe,BAU,1.17010360000000E+0008
AEZ11,EGY,pe,BAU,1.17010360000000E+0008
AEZ12,EGY,pe,BAU,306.06945801
AEZ13,EGY,pe,BAU,1.17010360000000E+0008
AEZ14,EGY,pe,BAU,1.17010360000000E+0008
AEZ15,EGY,pe,BAU,1.17010360000000E+0008
AEZ16,EGY,pe,BAU,1.17010360000000E+0008
AEZ17,EGY,pe,BAU,1.17010360000000E+0008
AEZ18,EGY,pe,BAU,1.17010360000000E+0008
UnSkLab,EGY,pe,BAU,8.2342796326
SkLab,EGY,pe,BAU,8.0549697876
Capital,EGY,pe,BAU,-14.412727356
NatRes,EGY,pe,BAU,121.20257568
AEZ1,ETH,pe,BAU,115.30735779
AEZ2,ETH,pe,BAU,127.3910141
AEZ3,ETH,pe,BAU,128.81877136
AEZ4,ETH,pe,BAU,125.32054138
AEZ5,ETH,pe,BAU,116.41869354
AEZ6,ETH,pe,BAU,115.29127502
AEZ7,ETH,pe,BAU,2932566.5
AEZ8,ETH,pe,BAU,127.80134583
AEZ9,ETH,pe,BAU,128.44779968
AEZ10,ETH,pe,BAU,128.02835083
AEZ11,ETH,pe,BAU,127.06967926
AEZ12,ETH,pe,BAU,115.29127502
AEZ13,ETH,pe,BAU,2932566
AEZ14,ETH,pe,BAU,2932566
AEZ15,ETH,pe,BAU,2932566
AEZ16,ETH,pe,BAU,2932566
AEZ17,ETH,pe,BAU,2932566
AEZ18,ETH,pe,BAU,2932566
UnSkLab,ETH,pe,BAU,-5.8353543282
SkLab,ETH,pe,BAU,18.490512848
Capital,ETH,pe,BAU,-14.645192146
NatRes,ETH,pe,BAU,222.93200684
AEZ1,EU27,pe,BAU,81.835968018
AEZ2,EU27,pe,BAU,81.835968018
AEZ3,EU27,pe,BAU,81.835968018
AEZ4,EU27,pe,BAU,81.835968018
AEZ5,EU27,pe,BAU,81.835968018
AEZ6,EU27,pe,BAU,81.835968018
AEZ7,EU27,pe,BAU,81.806770325
AEZ8,EU27,pe,BAU,71.100311279
AEZ9,EU27,pe,BAU,48.508983612
AEZ10,EU27,pe,BAU,36.792289734
AEZ11,EU27,pe,BAU,43.458106995
AEZ12,EU27,pe,BAU,51.325595856
AEZ13,EU27,pe,BAU,81.780227661
AEZ14,EU27,pe,BAU,40.676158905
AEZ15,EU27,pe,BAU,33.357772827
AEZ16,EU27,pe,BAU,53.14654541
AEZ17,EU27,pe,BAU,81.835968018
AEZ18,EU27,pe,BAU,81.833358765
UnSkLab,EU27,pe,BAU,3.0813097954
SkLab,EU27,pe,BAU,-4.1110186577
Capital,EU27,pe,BAU,-7.6091222763
NatRes,EU27,pe,BAU,110.31842804
AEZ1,IDN,pe,BAU,-6.8511042595
AEZ2,IDN,pe,BAU,-6.8511042595
AEZ3,IDN,pe,BAU,51.934001923
AEZ4,IDN,pe,BAU,57.73733902
AEZ5,IDN,pe,BAU,66.392448425
AEZ6,IDN,pe,BAU,62.533157349
AEZ7,IDN,pe,BAU,-6.8511042595
AEZ8,IDN,pe,BAU,-6.8511042595
AEZ9,IDN,pe,BAU,4.9102735519
AEZ10,IDN,pe,BAU,2.5653347969
AEZ11,IDN,pe,BAU,57.615413666
AEZ12,IDN,pe,BAU,52.851783752
AEZ13,IDN,pe,BAU,-6.8511042595
AEZ14,IDN,pe,BAU,-6.8511042595
AEZ15,IDN,pe,BAU,-6.8511042595
AEZ16,IDN,pe,BAU,-6.8511042595
AEZ17,IDN,pe,BAU,-6.8511042595
AEZ18,IDN,pe,BAU,-6.8511042595
UnSkLab,IDN,pe,BAU,-6.074341774
SkLab,IDN,pe,BAU,-22.956726074
Capital,IDN,pe,BAU,-16.816165924
NatRes,IDN,pe,BAU,120.85778809
AEZ1,INDIA,pe,BAU,63.393009186
AEZ2,INDIA,pe,BAU,63.067428589
AEZ3,INDIA,pe,BAU,61.285709381
AEZ4,INDIA,pe,BAU,65.076087952
AEZ5,INDIA,pe,BAU,65.369369507
AEZ6,INDIA,pe,BAU,75.645423889
AEZ7,INDIA,pe,BAU,57.077785492
AEZ8,INDIA,pe,BAU,60.099681854
AEZ9,INDIA,pe,BAU,60.486660004
AEZ10,INDIA,pe,BAU,59.629081726
AEZ11,INDIA,pe,BAU,58.728569031
AEZ12,INDIA,pe,BAU,61.870437622
AEZ13,INDIA,pe,BAU,167030.76563
AEZ14,INDIA,pe,BAU,167030.76563
AEZ15,INDIA,pe,BAU,167030.76563
AEZ16,INDIA,pe,BAU,167030.76563
AEZ17,INDIA,pe,BAU,167030.76563
AEZ18,INDIA,pe,BAU,167030.76563
UnSkLab,INDIA,pe,BAU,5.0288081169
SkLab,INDIA,pe,BAU,4.6142702103
Capital,INDIA,pe,BAU,-13.04654026
NatRes,INDIA,pe,BAU,123.9364624
AEZ1,JAPAN,pe,BAU,11.377178192
AEZ2,JAPAN,pe,BAU,11.377178192
AEZ3,JAPAN,pe,BAU,11.377178192
AEZ4,JAPAN,pe,BAU,11.377178192
AEZ5,JAPAN,pe,BAU,11.377178192
AEZ6,JAPAN,pe,BAU,61.031208038
AEZ7,JAPAN,pe,BAU,11.377178192
AEZ8,JAPAN,pe,BAU,11.377178192
AEZ9,JAPAN,pe,BAU,85.550239563
AEZ10,JAPAN,pe,BAU,73.489837646
AEZ11,JAPAN,pe,BAU,92.910751343
AEZ12,JAPAN,pe,BAU,88.645195007
AEZ13,JAPAN,pe,BAU,11.377178192
AEZ14,JAPAN,pe,BAU,81.801277161
AEZ15,JAPAN,pe,BAU,90.379295349
AEZ16,JAPAN,pe,BAU,23.86914444
AEZ17,JAPAN,pe,BAU,11.377178192
AEZ18,JAPAN,pe,BAU,11.377178192
UnSkLab,JAPAN,pe,BAU,1.0537171364
SkLab,JAPAN,pe,BAU,-5.2062287331
Capital,JAPAN,pe,BAU,-8.3630475998
NatRes,JAPAN,pe,BAU,139.96112061
AEZ1,KOR,pe,BAU,30.063243866
AEZ2,KOR,pe,BAU,30.063243866
AEZ3,KOR,pe,BAU,30.063243866
AEZ4,KOR,pe,BAU,30.063243866
AEZ5,KOR,pe,BAU,30.063243866
AEZ6,KOR,pe,BAU,30.063243866
AEZ7,KOR,pe,BAU,30.063243866
AEZ8,KOR,pe,BAU,30.063243866
AEZ9,KOR,pe,BAU,30.063243866
AEZ10,KOR,pe,BAU,59.76077652
AEZ11,KOR,pe,BAU,58.361183167
AEZ12,KOR,pe,BAU,50.85136795
AEZ13,KOR,pe,BAU,30.063243866
AEZ14,KOR,pe,BAU,30.063243866
AEZ15,KOR,pe,BAU,30.063243866
AEZ16,KOR,pe,BAU,30.063243866
AEZ17,KOR,pe,BAU,30.063243866
AEZ18,KOR,pe,BAU,30.063243866
UnSkLab,KOR,pe,BAU,9.2334671021
SkLab,KOR,pe,BAU,5.0616374016
Capital,KOR,pe,BAU,-11.719432831
NatRes,KOR,pe,BAU,194.4519043
AEZ1,MAR,pe,BAU,1862189.5
AEZ2,MAR,pe,BAU,1862190.375
AEZ3,MAR,pe,BAU,1862189.5
AEZ4,MAR,pe,BAU,1862189.5
AEZ5,MAR,pe,BAU,1862190.375
AEZ6,MAR,pe,BAU,88.253555298
AEZ7,MAR,pe,BAU,104.60410309
AEZ8,MAR,pe,BAU,107.63883972
AEZ9,MAR,pe,BAU,116.79202271
AEZ10,MAR,pe,BAU,114.60024261
AEZ11,MAR,pe,BAU,1862189.5
AEZ12,MAR,pe,BAU,88.25315094
AEZ13,MAR,pe,BAU,1862189.5
AEZ14,MAR,pe,BAU,1862189.5
AEZ15,MAR,pe,BAU,1862189.5
AEZ16,MAR,pe,BAU,1862189.5
AEZ17,MAR,pe,BAU,1862189.5
AEZ18,MAR,pe,BAU,1862189.5
UnSkLab,MAR,pe,BAU,4.6591572762
SkLab,MAR,pe,BAU,-5.0071959496
Capital,MAR,pe,BAU,-9.105050087
NatRes,MAR,pe,BAU,251.19943237
AEZ1,MDG,pe,BAU,-99.947525024
AEZ2,MDG,pe,BAU,-21.049133301
AEZ3,MDG,pe,BAU,-37.07611084
AEZ4,MDG,pe,BAU,-49.133869171
AEZ5,MDG,pe,BAU,-47.192977905
AEZ6,MDG,pe,BAU,-30.180271149
AEZ7,MDG,pe,BAU,-99.947525024
AEZ8,MDG,pe,BAU,-99.947525024
AEZ9,MDG,pe,BAU,-9.8245620728
AEZ10,MDG,pe,BAU,-49.464660645
AEZ11,MDG,pe,BAU,-50.053195953
AEZ12,MDG,pe,BAU,-48.613578796
AEZ13,MDG,pe,BAU,-99.947525024
AEZ14,MDG,pe,BAU,-99.947525024
AEZ15,MDG,pe,BAU,-99.947525024
AEZ16,MDG,pe,BAU,-99.947525024
AEZ17,MDG,pe,BAU,-99.947525024
AEZ18,MDG,pe,BAU,-99.947525024
UnSkLab,MDG,pe,BAU,0.92886394262
SkLab,MDG,pe,BAU,46.505256653
Capital,MDG,pe,BAU,16.811592102
NatRes,MDG,pe,BAU,60.567317963
AEZ1,MEAS_NAfr,pe,BAU,158.44306946
AEZ2,MEAS_NAfr,pe,BAU,179.7137146
AEZ3,MEAS_NAfr,pe,BAU,179.57778931
AEZ4,MEAS_NAfr,pe,BAU,182.38485718
AEZ5,MEAS_NAfr,pe,BAU,182.38485718
AEZ6,MEAS_NAfr,pe,BAU,182.38485718
AEZ7,MEAS_NAfr,pe,BAU,161.99098206
AEZ8,MEAS_NAfr,pe,BAU,162.68426514
AEZ9,MEAS_NAfr,pe,BAU,162.89620972
AEZ10,MEAS_NAfr,pe,BAU,171.72035217
AEZ11,MEAS_NAfr,pe,BAU,184.36553955
AEZ12,MEAS_NAfr,pe,BAU,185.18977356
AEZ13,MEAS_NAfr,pe,BAU,182.38485718
AEZ14,MEAS_NAfr,pe,BAU,182.38485718
AEZ15,MEAS_NAfr,pe,BAU,182.38485718
AEZ16,MEAS_NAfr,pe,BAU,182.38485718
AEZ17,MEAS_NAfr,pe,BAU,182.38485718
AEZ18,MEAS_NAfr,pe,BAU,178.98822021
UnSkLab,MEAS_NAfr,pe,BAU,-4.6320881844
SkLab,MEAS_NAfr,pe,BAU,-6.9390554428
Capital,MEAS_NAfr,pe,BAU,-18.537475586
NatRes,MEAS_NAfr,pe,BAU,89.862220764
AEZ1,MEX,pe,BAU,20.819290161
AEZ2,MEX,pe,BAU,21.711502075
AEZ3,MEX,pe,BAU,17.382328033
AEZ4,MEX,pe,BAU,18.448270798
AEZ5,MEX,pe,BAU,22.774145126
AEZ6,MEX,pe,BAU,19.227687836
AEZ7,MEX,pe,BAU,20.205976486
AEZ8,MEX,pe,BAU,17.53660202
AEZ9,MEX,pe,BAU,16.332195282
AEZ10,MEX,pe,BAU,18.050924301
AEZ11,MEX,pe,BAU,18.326810837
AEZ12,MEX,pe,BAU,17.679035187
AEZ13,MEX,pe,BAU,2267.7888184
AEZ14,MEX,pe,BAU,2267.7888184
AEZ15,MEX,pe,BAU,2267.7888184
AEZ16,MEX,pe,BAU,2267.7888184
AEZ17,MEX,pe,BAU,2267.7888184
AEZ18,MEX,pe,BAU,2267.7888184
UnSkLab,MEX,pe,BAU,-0.41034933925
SkLab,MEX,pe,BAU,1.0417574644
Capital,MEX,pe,BAU,-13.333650589
NatRes,MEX,pe,BAU,104.68203735
AEZ1,MYS,pe,BAU,8.0130138397
AEZ2,MYS,pe,BAU,8.0130138397
AEZ3,MYS,pe,BAU,8.0130138397
AEZ4,MYS,pe,BAU,8.0130138397
AEZ5,MYS,pe,BAU,8.0130138397
AEZ6,MYS,pe,BAU,42.255764008
AEZ7,MYS,pe,BAU,8.0130138397
AEZ8,MYS,pe,BAU,8.0130138397
AEZ9,MYS,pe,BAU,8.0130138397
AEZ10,MYS,pe,BAU,8.0130138397
AEZ11,MYS,pe,BAU,8.0130138397
AEZ12,MYS,pe,BAU,17.482633591
AEZ13,MYS,pe,BAU,8.0130138397
AEZ14,MYS,pe,BAU,8.0130138397
AEZ15,MYS,pe,BAU,8.013012886
AEZ16,MYS,pe,BAU,8.0130138397
AEZ17,MYS,pe,BAU,8.0130138397
AEZ18,MYS,pe,BAU,8.0130138397
UnSkLab,MYS,pe,BAU,1.2900238037
SkLab,MYS,pe,BAU,2.0500428677
Capital,MYS,pe,BAU,-16.013072968
NatRes,MYS,pe,BAU,91.772499084
AEZ1,NGA,pe,BAU,516.93432617
AEZ2,NGA,pe,BAU,502.68624878
AEZ3,NGA,pe,BAU,500.24197388
AEZ4,NGA,pe,BAU,508.35244751
AEZ5,NGA,pe,BAU,496.45477295
AEZ6,NGA,pe,BAU,451.02261353
AEZ7,NGA,pe,BAU,4.99683072000000E+0009
AEZ8,NGA,pe,BAU,4.99683072000000E+0009
AEZ9,NGA,pe,BAU,4.99683072000000E+0009
AEZ10,NGA,pe,BAU,537.36187744
AEZ11,NGA,pe,BAU,512.7769165
AEZ12,NGA,pe,BAU,4.99683072000000E+0009
AEZ13,NGA,pe,BAU,4.99683072000000E+0009
AEZ14,NGA,pe,BAU,4.99683072000000E+0009
AEZ15,NGA,pe,BAU,4.99683072000000E+0009
AEZ16,NGA,pe,BAU,4.99683072000000E+0009
AEZ17,NGA,pe,BAU,4.99683072000000E+0009
AEZ18,NGA,pe,BAU,4.99683072000000E+0009
UnSkLab,NGA,pe,BAU,0.11759360135
SkLab,NGA,pe,BAU,-19.502632141
Capital,NGA,pe,BAU,-30.319551468
NatRes,NGA,pe,BAU,169.74742126
AEZ1,Oceania,pe,BAU,6.2356085777
AEZ2,Oceania,pe,BAU,7.7883415222
AEZ3,Oceania,pe,BAU,5.6774153709
AEZ4,Oceania,pe,BAU,21.789958954
AEZ5,Oceania,pe,BAU,41.356952667
AEZ6,Oceania,pe,BAU,14.027663231
AEZ7,Oceania,pe,BAU,1.0023546219
AEZ8,Oceania,pe,BAU,13.806499481
AEZ9,Oceania,pe,BAU,10.612186432
AEZ10,Oceania,pe,BAU,7.3030805588
AEZ11,Oceania,pe,BAU,39.513759613
AEZ12,Oceania,pe,BAU,38.566635132
AEZ13,Oceania,pe,BAU,47.674152374
AEZ14,Oceania,pe,BAU,47.674152374
AEZ15,Oceania,pe,BAU,31.733718872
AEZ16,Oceania,pe,BAU,37.558162689
AEZ17,Oceania,pe,BAU,55.788238525
AEZ18,Oceania,pe,BAU,47.674152374
UnSkLab,Oceania,pe,BAU,7.7573914528
SkLab,Oceania,pe,BAU,18.809516907
Capital,Oceania,pe,BAU,-1.5989447832
NatRes,Oceania,pe,BAU,136.98483276
AEZ1,Oth_CEE_CIS,pe,BAU,9.5714864731
AEZ2,Oth_CEE_CIS,pe,BAU,9.5714864731
AEZ3,Oth_CEE_CIS,pe,BAU,9.5714864731
AEZ4,Oth_CEE_CIS,pe,BAU,9.5714864731
AEZ5,Oth_CEE_CIS,pe,BAU,9.5714864731
AEZ6,Oth_CEE_CIS,pe,BAU,9.5714864731
AEZ7,Oth_CEE_CIS,pe,BAU,27.219608307
AEZ8,Oth_CEE_CIS,pe,BAU,29.858043671
AEZ9,Oth_CEE_CIS,pe,BAU,27.550868988
AEZ10,Oth_CEE_CIS,pe,BAU,27.320175171
AEZ11,Oth_CEE_CIS,pe,BAU,24.638381958
AEZ12,Oth_CEE_CIS,pe,BAU,16.672401428
AEZ13,Oth_CEE_CIS,pe,BAU,16.974248886
AEZ14,Oth_CEE_CIS,pe,BAU,24.558244705
AEZ15,Oth_CEE_CIS,pe,BAU,17.215694427
AEZ16,Oth_CEE_CIS,pe,BAU,18.295978546
AEZ17,Oth_CEE_CIS,pe,BAU,9.5714864731
AEZ18,Oth_CEE_CIS,pe,BAU,9.5714864731
UnSkLab,Oth_CEE_CIS,pe,BAU,18.523944855
SkLab,Oth_CEE_CIS,pe,BAU,13.789560318
Capital,Oth_CEE_CIS,pe,BAU,-6.0828976631
NatRes,Oth_CEE_CIS,pe,BAU,99.999725342
AEZ1,Oth_Europe,pe,BAU,4.7765011787
AEZ2,Oth_Europe,pe,BAU,4.7765011787
AEZ3,Oth_Europe,pe,BAU,4.7765011787
AEZ4,Oth_Europe,pe,BAU,4.7765011787
AEZ5,Oth_Europe,pe,BAU,4.7765011787
AEZ6,Oth_Europe,pe,BAU,4.7765011787
AEZ7,Oth_Europe,pe,BAU,4.869849205
AEZ8,Oth_Europe,pe,BAU,5.6568775177
AEZ9,Oth_Europe,pe,BAU,7.7461967468
AEZ10,Oth_Europe,pe,BAU,14.627010345
AEZ11,Oth_Europe,pe,BAU,10.537256241
AEZ12,Oth_Europe,pe,BAU,6.043615818
AEZ13,Oth_Europe,pe,BAU,4.818318367
AEZ14,Oth_Europe,pe,BAU,10.418025017
AEZ15,Oth_Europe,pe,BAU,14.152341843
AEZ16,Oth_Europe,pe,BAU,7.1821746826
AEZ17,Oth_Europe,pe,BAU,4.7765011787
AEZ18,Oth_Europe,pe,BAU,4.7765011787
UnSkLab,Oth_Europe,pe,BAU,2.7653765678
SkLab,Oth_Europe,pe,BAU,-2.96271348
Capital,Oth_Europe,pe,BAU,-9.7157554626
NatRes,Oth_Europe,pe,BAU,71.94430542
AEZ1,PAK,pe,BAU,75.775901794
AEZ2,PAK,pe,BAU,187510.79688
AEZ3,PAK,pe,BAU,187510.79688
AEZ4,PAK,pe,BAU,187510.79688
AEZ5,PAK,pe,BAU,187510.79688
AEZ6,PAK,pe,BAU,187510.79688
AEZ7,PAK,pe,BAU,79.140594482
AEZ8,PAK,pe,BAU,78.619667053
AEZ9,PAK,pe,BAU,77.791755676
AEZ10,PAK,pe,BAU,80.936592102
AEZ11,PAK,pe,BAU,78.546791077
AEZ12,PAK,pe,BAU,73.25151062
AEZ13,PAK,pe,BAU,187510.82813
AEZ14,PAK,pe,BAU,187510.82813
AEZ15,PAK,pe,BAU,187510.82813
AEZ16,PAK,pe,BAU,187510.82813
AEZ17,PAK,pe,BAU,187510.82813
AEZ18,PAK,pe,BAU,187510.82813
UnSkLab,PAK,pe,BAU,-18.832410812
SkLab,PAK,pe,BAU,-14.788697243
Capital,PAK,pe,BAU,-30.273508072
NatRes,PAK,pe,BAU,211.02488708
AEZ1,PHL,pe,BAU,-5.1156253815
AEZ2,PHL,pe,BAU,-5.1156253815
AEZ3,PHL,pe,BAU,-5.1156253815
AEZ4,PHL,pe,BAU,64.353286743
AEZ5,PHL,pe,BAU,59.929039001
AEZ6,PHL,pe,BAU,52.555866241
AEZ7,PHL,pe,BAU,-5.1156253815
AEZ8,PHL,pe,BAU,-5.1156253815
AEZ9,PHL,pe,BAU,-5.1156253815
AEZ10,PHL,pe,BAU,-5.1156253815
AEZ11,PHL,pe,BAU,41.891811371
AEZ12,PHL,pe,BAU,52.225551605
AEZ13,PHL,pe,BAU,-5.1156253815
AEZ14,PHL,pe,BAU,-5.1156253815
