ACTS,REG,RACTRES,SCEN,Value
Mnfcing,JAPAN,po,BAU,-8.2094144821
Services,JAPAN,po,BAU,-7.2998642921
paddyrice,KOR,po,BAU,30.719661713
wheat,KOR,po,BAU,5.089345932
crsgrns,KOR,po,BAU,8.7938241959
fruitveg,KOR,po,BAU,13.898996353
oilsds,KOR,po,BAU,2.602673769
sugarcrps,KOR,po,BAU,23.381620407
cotton,KOR,po,BAU,11.449720383
othercrps,KOR,po,BAU,6.6387248039
forestsec,KOR,po,BAU,3.5117909908
fishery,KOR,po,BAU,25.265378952
ruminant,KOR,po,BAU,29.158061981
nonruminant,KOR,po,BAU,-25.884660721
PrFood,KOR,po,BAU,-4.0804228783
PrLstk,KOR,po,BAU,-6.1849336624
NRes,KOR,po,BAU,7.9211201668
Mnfcing,KOR,po,BAU,-10.167056084
Services,KOR,po,BAU,-7.4974603653
paddyrice,MAR,po,BAU,0.56442844868
wheat,MAR,po,BAU,-2.2597813606
crsgrns,MAR,po,BAU,-0.088838689029
fruitveg,MAR,po,BAU,-1.3781827688
oilsds,MAR,po,BAU,-0.14733986557
sugarcrps,MAR,po,BAU,-0.19965544343
cotton,MAR,po,BAU,-0.14404276013
othercrps,MAR,po,BAU,-1.3554253578
forestsec,MAR,po,BAU,41.401943207
fishery,MAR,po,BAU,37.770675659
ruminant,MAR,po,BAU,-0.13726294041
nonruminant,MAR,po,BAU,-6.0830197334
PrFood,MAR,po,BAU,-7.7530384064
PrLstk,MAR,po,BAU,-7.6875987053
NRes,MAR,po,BAU,7.9706535339
Mnfcing,MAR,po,BAU,-8.3949422836
Services,MAR,po,BAU,-8.3858976364
paddyrice,MDG,po,BAU,3.3438601494
wheat,MDG,po,BAU,-20.452177048
crsgrns,MDG,po,BAU,4.1412601471
fruitveg,MDG,po,BAU,4.0798430443
oilsds,MDG,po,BAU,4.2141127586
sugarcrps,MDG,po,BAU,3.6647956371
cotton,MDG,po,BAU,3.9420788288
othercrps,MDG,po,BAU,5.0338482857
forestsec,MDG,po,BAU,-16.359254837
fishery,MDG,po,BAU,15.733678818
ruminant,MDG,po,BAU,-5.4767980576
nonruminant,MDG,po,BAU,-15.485402107
PrFood,MDG,po,BAU,-0.3274012506
PrLstk,MDG,po,BAU,-0.24229224026
NRes,MDG,po,BAU,10.425327301
Mnfcing,MDG,po,BAU,-7.1365971565
Services,MDG,po,BAU,0.19716285169
paddyrice,MEAS_NAfr,po,BAU,17.242713928
wheat,MEAS_NAfr,po,BAU,0.42804962397
crsgrns,MEAS_NAfr,po,BAU,4.5416021347
fruitveg,MEAS_NAfr,po,BAU,7.981698513
oilsds,MEAS_NAfr,po,BAU,3.1048843861
sugarcrps,MEAS_NAfr,po,BAU,63.373317719
cotton,MEAS_NAfr,po,BAU,4.9224267006
othercrps,MEAS_NAfr,po,BAU,4.8966827393
forestsec,MEAS_NAfr,po,BAU,25.716409683
fishery,MEAS_NAfr,po,BAU,14.941344261
ruminant,MEAS_NAfr,po,BAU,2.112404108
nonruminant,MEAS_NAfr,po,BAU,-5.5482335091
PrFood,MEAS_NAfr,po,BAU,-6.2730097771
PrLstk,MEAS_NAfr,po,BAU,-3.7919521332
NRes,MEAS_NAfr,po,BAU,11.970607758
Mnfcing,MEAS_NAfr,po,BAU,-6.1177039146
Services,MEAS_NAfr,po,BAU,-10.154743195
paddyrice,MEX,po,BAU,-6.8057227135
wheat,MEX,po,BAU,-6.9687867165
crsgrns,MEX,po,BAU,-6.6048445702
fruitveg,MEX,po,BAU,-5.4060153961
oilsds,MEX,po,BAU,-4.8545084
sugarcrps,MEX,po,BAU,-2.6461098194
cotton,MEX,po,BAU,-6.1354875565
othercrps,MEX,po,BAU,-3.8083603382
forestsec,MEX,po,BAU,1.6344524622
fishery,MEX,po,BAU,13.69874382
ruminant,MEX,po,BAU,-11.678487778
nonruminant,MEX,po,BAU,-32.554580688
PrFood,MEX,po,BAU,-10.139904022
PrLstk,MEX,po,BAU,-15.049383163
NRes,MEX,po,BAU,9.4437189102
Mnfcing,MEX,po,BAU,-9.0270776749
Services,MEX,po,BAU,-9.3470525742
paddyrice,MYS,po,BAU,21.579961777
wheat,MYS,po,BAU,-3.9060060978
crsgrns,MYS,po,BAU,-10.613035202
fruitveg,MYS,po,BAU,8.0534172058
oilsds,MYS,po,BAU,17.917856216
sugarcrps,MYS,po,BAU,19.478359222
cotton,MYS,po,BAU,8.2487802505
othercrps,MYS,po,BAU,8.7459344864
forestsec,MYS,po,BAU,13.272673607
fishery,MYS,po,BAU,19.520339966
ruminant,MYS,po,BAU,6.8979406357
nonruminant,MYS,po,BAU,-28.34057045
PrFood,MYS,po,BAU,-2.5412507057
PrLstk,MYS,po,BAU,-13.698537827
NRes,MYS,po,BAU,12.825275421
Mnfcing,MYS,po,BAU,-10.83814621
Services,MYS,po,BAU,-9.935341835
paddyrice,NGA,po,BAU,19.417146683
wheat,NGA,po,BAU,-2.7643077374
crsgrns,NGA,po,BAU,19.937360764
fruitveg,NGA,po,BAU,19.038667679
oilsds,NGA,po,BAU,22.059652328
sugarcrps,NGA,po,BAU,21.485437393
cotton,NGA,po,BAU,78.459022522
othercrps,NGA,po,BAU,21.605564117
forestsec,NGA,po,BAU,109.44642639
fishery,NGA,po,BAU,20.24902153
ruminant,NGA,po,BAU,-8.2035751343
nonruminant,NGA,po,BAU,-27.562894821
PrFood,NGA,po,BAU,-13.919697762
PrLstk,NGA,po,BAU,-25.889305115
NRes,NGA,po,BAU,10.380094528
Mnfcing,NGA,po,BAU,-26.304269791
Services,NGA,po,BAU,-26.044202805
paddyrice,Oceania,po,BAU,-10.011909485
wheat,Oceania,po,BAU,-8.2473125458
crsgrns,Oceania,po,BAU,-11.655409813
fruitveg,Oceania,po,BAU,-6.2770280838
oilsds,Oceania,po,BAU,-8.0893068314
sugarcrps,Oceania,po,BAU,-9.7319469452
cotton,Oceania,po,BAU,-9.3853311539
othercrps,Oceania,po,BAU,-3.4311430454
forestsec,Oceania,po,BAU,4.5130171776
fishery,Oceania,po,BAU,15.621043205
ruminant,Oceania,po,BAU,-6.5978889465
nonruminant,Oceania,po,BAU,-8.8470811844
PrFood,Oceania,po,BAU,-5.9000372887
PrLstk,Oceania,po,BAU,-7.9392757416
NRes,Oceania,po,BAU,12.728784561
Mnfcing,Oceania,po,BAU,-5.0339951515
Services,Oceania,po,BAU,-3.1357655525
paddyrice,Oth_CEE_CIS,po,BAU,-9.8781757355
wheat,Oth_CEE_CIS,po,BAU,-11.021697998
crsgrns,Oth_CEE_CIS,po,BAU,-12.289969444
fruitveg,Oth_CEE_CIS,po,BAU,-11.315094948
oilsds,Oth_CEE_CIS,po,BAU,-12.568071365
sugarcrps,Oth_CEE_CIS,po,BAU,-15.777193069
cotton,Oth_CEE_CIS,po,BAU,-5.7157611847
othercrps,Oth_CEE_CIS,po,BAU,-9.5155353546
forestsec,Oth_CEE_CIS,po,BAU,1.4951645136
fishery,Oth_CEE_CIS,po,BAU,9.7540559769
ruminant,Oth_CEE_CIS,po,BAU,-8.2612991333
nonruminant,Oth_CEE_CIS,po,BAU,-19.968206406
PrFood,Oth_CEE_CIS,po,BAU,-12.330693245
PrLstk,Oth_CEE_CIS,po,BAU,-13.622488976
NRes,Oth_CEE_CIS,po,BAU,10.494029045
Mnfcing,Oth_CEE_CIS,po,BAU,-8.9856853485
Services,Oth_CEE_CIS,po,BAU,-8.0925254822
paddyrice,Oth_Europe,po,BAU,1.3165310621
wheat,Oth_Europe,po,BAU,-11.083848953
crsgrns,Oth_Europe,po,BAU,-13.263868332
fruitveg,Oth_Europe,po,BAU,-11.975428581
oilsds,Oth_Europe,po,BAU,-11.03390789
sugarcrps,Oth_Europe,po,BAU,-13.603152275
cotton,Oth_Europe,po,BAU,-2.5036139488
othercrps,Oth_Europe,po,BAU,-8.3515310287
forestsec,Oth_Europe,po,BAU,-4.6570248604
fishery,Oth_Europe,po,BAU,11.186344147
ruminant,Oth_Europe,po,BAU,-6.2062468529
nonruminant,Oth_Europe,po,BAU,-19.627292633
PrFood,Oth_Europe,po,BAU,-5.9013624191
PrLstk,Oth_Europe,po,BAU,-7.2755608559
NRes,Oth_Europe,po,BAU,10.574641228
Mnfcing,Oth_Europe,po,BAU,-7.3441128731
Services,Oth_Europe,po,BAU,-6.2627863884
paddyrice,PAK,po,BAU,18.430860519
wheat,PAK,po,BAU,3.6177453995
crsgrns,PAK,po,BAU,9.388176918
fruitveg,PAK,po,BAU,11.796116829
oilsds,PAK,po,BAU,8.8527317047
sugarcrps,PAK,po,BAU,10.665915489
cotton,PAK,po,BAU,15.301445007
othercrps,PAK,po,BAU,4.4464421272
forestsec,PAK,po,BAU,13.677061081
fishery,PAK,po,BAU,33.158004761
ruminant,PAK,po,BAU,-2.9180030823
nonruminant,PAK,po,BAU,-33.397094727
PrFood,PAK,po,BAU,-5.1356534958
PrLstk,PAK,po,BAU,-9.774389267
NRes,PAK,po,BAU,14.599642754
Mnfcing,PAK,po,BAU,-10.870666504
Services,PAK,po,BAU,-21.79442215
paddyrice,PHL,po,BAU,29.340515137
wheat,PHL,po,BAU,-4.3719620705
crsgrns,PHL,po,BAU,26.599662781
fruitveg,PHL,po,BAU,16.643276215
oilsds,PHL,po,BAU,32.114700317
sugarcrps,PHL,po,BAU,26.391649246
cotton,PHL,po,BAU,11.748439789
othercrps,PHL,po,BAU,25.515476227
forestsec,PHL,po,BAU,-2.0041518211
fishery,PHL,po,BAU,42.558242798
ruminant,PHL,po,BAU,49.964874268
nonruminant,PHL,po,BAU,-22.171251297
PrFood,PHL,po,BAU,0.1135769859
PrLstk,PHL,po,BAU,-14.45146656
NRes,PHL,po,BAU,12.036903381
Mnfcing,PHL,po,BAU,-11.653367996
Services,PHL,po,BAU,-8.819776535
paddyrice,POL,po,BAU,4.0775198936
wheat,POL,po,BAU,-9.1423482895
crsgrns,POL,po,BAU,-12.063903809
fruitveg,POL,po,BAU,-9.51258564
oilsds,POL,po,BAU,-11.331148148
sugarcrps,POL,po,BAU,-9.5164995193
cotton,POL,po,BAU,-3.8533835411
othercrps,POL,po,BAU,-9.0567092896
forestsec,POL,po,BAU,0.79092371464
fishery,POL,po,BAU,13.420408249
ruminant,POL,po,BAU,-1.4245064259
nonruminant,POL,po,BAU,-19.25053215
PrFood,POL,po,BAU,-10.243929863
PrLstk,POL,po,BAU,-10.882604599
NRes,POL,po,BAU,10.731895447
Mnfcing,POL,po,BAU,-9.6856031418
Services,POL,po,BAU,-8.5007190704
paddyrice,R_S_Asia,po,BAU,6.6173996925
wheat,R_S_Asia,po,BAU,5.6200633049
crsgrns,R_S_Asia,po,BAU,11.75364399
fruitveg,R_S_Asia,po,BAU,7.121817112
oilsds,R_S_Asia,po,BAU,6.6358466148
sugarcrps,R_S_Asia,po,BAU,8.3901176453
cotton,R_S_Asia,po,BAU,7.8522648811
othercrps,R_S_Asia,po,BAU,3.8752746582
forestsec,R_S_Asia,po,BAU,14.25039196
fishery,R_S_Asia,po,BAU,32.72038269
ruminant,R_S_Asia,po,BAU,-0.93609619141
nonruminant,R_S_Asia,po,BAU,-25.637256622
PrFood,R_S_Asia,po,BAU,-6.196331501
PrLstk,R_S_Asia,po,BAU,-10.293399811
NRes,R_S_Asia,po,BAU,9.4846458435
Mnfcing,R_S_Asia,po,BAU,-10.427427292
Services,R_S_Asia,po,BAU,-8.0660095215
paddyrice,R_SE_Asia,po,BAU,16.242443085
wheat,R_SE_Asia,po,BAU,-3.2812912464
crsgrns,R_SE_Asia,po,BAU,14.098869324
fruitveg,R_SE_Asia,po,BAU,11.805568695
oilsds,R_SE_Asia,po,BAU,3.9031434059
sugarcrps,R_SE_Asia,po,BAU,13.215479851
cotton,R_SE_Asia,po,BAU,4.899869442
othercrps,R_SE_Asia,po,BAU,11.5331707
forestsec,R_SE_Asia,po,BAU,15.506455421
fishery,R_SE_Asia,po,BAU,18.167612076
ruminant,R_SE_Asia,po,BAU,35.591854095
nonruminant,R_SE_Asia,po,BAU,-27.711626053
PrFood,R_SE_Asia,po,BAU,-0.8969848156
PrLstk,R_SE_Asia,po,BAU,-14.451339722
NRes,R_SE_Asia,po,BAU,12.821663857
Mnfcing,R_SE_Asia,po,BAU,-10.084775925
Services,R_SE_Asia,po,BAU,-11.965755463
paddyrice,Russia,po,BAU,-9.7412595749
wheat,Russia,po,BAU,-8.7641601562
crsgrns,Russia,po,BAU,-11.688814163
fruitveg,Russia,po,BAU,-12.164361
oilsds,Russia,po,BAU,-10.939159393
sugarcrps,Russia,po,BAU,-11.891944885
cotton,Russia,po,BAU,-16.319782257
othercrps,Russia,po,BAU,-6.075401783
forestsec,Russia,po,BAU,-5.8532280922
fishery,Russia,po,BAU,11.927797318
ruminant,Russia,po,BAU,-5.3744320869
nonruminant,Russia,po,BAU,-22.766868591
PrFood,Russia,po,BAU,-9.9169254303
PrLstk,Russia,po,BAU,-12.018316269
NRes,Russia,po,BAU,9.0884771347
Mnfcing,Russia,po,BAU,-5.6561107635
Services,Russia,po,BAU,-5.1297616959
paddyrice,S_o_Amer,po,BAU,-1.6330925226
wheat,S_o_Amer,po,BAU,-5.7865552902
crsgrns,S_o_Amer,po,BAU,-3.5021085739
fruitveg,S_o_Amer,po,BAU,-3.3910472393
oilsds,S_o_Amer,po,BAU,-4.0020847321
sugarcrps,S_o_Amer,po,BAU,-1.5861728191
cotton,S_o_Amer,po,BAU,-3.7745881081
othercrps,S_o_Amer,po,BAU,-2.4694993496
forestsec,S_o_Amer,po,BAU,3.420873642
fishery,S_o_Amer,po,BAU,18.752285004
ruminant,S_o_Amer,po,BAU,-8.8521690369
nonruminant,S_o_Amer,po,BAU,-31.792837143
PrFood,S_o_Amer,po,BAU,-6.8436784744
PrLstk,S_o_Amer,po,BAU,-12.763799667
NRes,S_o_Amer,po,BAU,11.235713959
Mnfcing,S_o_Amer,po,BAU,-6.0041513443
Services,S_o_Amer,po,BAU,-6.5665283203
paddyrice,S_S_AFR,po,BAU,10.773347855
wheat,S_S_AFR,po,BAU,-3.4090275764
crsgrns,S_S_AFR,po,BAU,8.86622715
fruitveg,S_S_AFR,po,BAU,12.271671295
oilsds,S_S_AFR,po,BAU,5.0344824791
sugarcrps,S_S_AFR,po,BAU,38.2927742
cotton,S_S_AFR,po,BAU,0.71121579409
othercrps,S_S_AFR,po,BAU,-0.39570444822
forestsec,S_S_AFR,po,BAU,22.942501068
fishery,S_S_AFR,po,BAU,24.448505402
ruminant,S_S_AFR,po,BAU,-0.60064095259
nonruminant,S_S_AFR,po,BAU,-5.8623447418
PrFood,S_S_AFR,po,BAU,-8.6709098816
PrLstk,S_S_AFR,po,BAU,-9.8206853867
NRes,S_S_AFR,po,BAU,11.695135117
Mnfcing,S_S_AFR,po,BAU,-11.499287605
Services,S_S_AFR,po,BAU,-10.755343437
paddyrice,TUR,po,BAU,-1.4639335871
wheat,TUR,po,BAU,-0.82715046406
crsgrns,TUR,po,BAU,1.9183452129
fruitveg,TUR,po,BAU,0.74772894382
oilsds,TUR,po,BAU,0.53167158365
sugarcrps,TUR,po,BAU,2.9994161129
cotton,TUR,po,BAU,-3.7600123882
othercrps,TUR,po,BAU,-0.97030109167
forestsec,TUR,po,BAU,24.033092499
fishery,TUR,po,BAU,29.175401688
ruminant,TUR,po,BAU,3.4612100124
nonruminant,TUR,po,BAU,-5.3191452026
PrFood,TUR,po,BAU,-9.6818637848
PrLstk,TUR,po,BAU,-7.4688458443
NRes,TUR,po,BAU,12.126291275
Mnfcing,TUR,po,BAU,-10.749833107
Services,TUR,po,BAU,-10.184127808
paddyrice,USA,po,BAU,-9.6701755524
wheat,USA,po,BAU,-9.37449646
crsgrns,USA,po,BAU,-12.791003227
fruitveg,USA,po,BAU,-9.6614770889
oilsds,USA,po,BAU,-7.9913601875
sugarcrps,USA,po,BAU,-11.285358429
cotton,USA,po,BAU,-6.4650182724
othercrps,USA,po,BAU,-6.1291270256
forestsec,USA,po,BAU,-8.6357212067
fishery,USA,po,BAU,6.7555112839
ruminant,USA,po,BAU,-10.230150223
nonruminant,USA,po,BAU,-12.552538872
PrFood,USA,po,BAU,-7.0196661949
PrLstk,USA,po,BAU,-10.0053339
NRes,USA,po,BAU,5.7871999741
Mnfcing,USA,po,BAU,-6.2332792282
Services,USA,po,BAU,-3.2475702763
paddyrice,VNM,po,BAU,11.626282692
wheat,VNM,po,BAU,-3.3271064758
crsgrns,VNM,po,BAU,12.491375923
fruitveg,VNM,po,BAU,4.3414883614
oilsds,VNM,po,BAU,4.0898075104
sugarcrps,VNM,po,BAU,16.448947906
cotton,VNM,po,BAU,10.231952667
othercrps,VNM,po,BAU,-0.21856579185
forestsec,VNM,po,BAU,14.963638306
fishery,VNM,po,BAU,20.350755692
ruminant,VNM,po,BAU,11.219659805
nonruminant,VNM,po,BAU,-26.100250244
