REGWLD,GDPIN,SCEN,Value
R_SE_Asia,TechChange,BAU,2.411965847
Russia,TechChange,BAU,14.106233597
S_o_Amer,TechChange,BAU,3.508272171
S_S_AFR,TechChange,BAU,13.61607933
TUR,TechChange,BAU,6.9976387024
USA,TechChange,BAU,9.9911260605
VNM,TechChange,BAU,9.4385566711
XAC,TechChange,BAU,13.158245087
ZAF,TechChange,BAU,6.0451726913
World,TechChange,BAU,8.4572563171
ARG,Land,BAU_noES,0.034079357982
BGD,Land,BAU_noES,0.15830485523
BRAZIL,Land,BAU_noES,0.025293815881
C_C_Amer,Land,BAU_noES,0.073522359133
CAN,Land,BAU_noES,2.84463795833290E-0003
CHIHKG,Land,BAU_noES,3.23207885958254E-0003
COL,Land,BAU_noES,0.026278728619
E_Asia,Land,BAU_noES,1.24092958867550E-0003
EGY,Land,BAU_noES,-0.051934953779
ETH,Land,BAU_noES,0.13918940723
EU27,Land,BAU_noES,-1.31071417126805E-0003
IDN,Land,BAU_noES,0.58645319939
INDIA,Land,BAU_noES,0.047536291182
JAPAN,Land,BAU_noES,-3.05769895203412E-0003
KOR,Land,BAU_noES,7.89770856499672E-0003
MAR,Land,BAU_noES,0.027199180797
MDG,Land,BAU_noES,-0.016365855932
MEAS_NAfr,Land,BAU_noES,1.35261029936373E-0003
MEX,Land,BAU_noES,6.50939764454961E-0003
MYS,Land,BAU_noES,0.33109232783
NGA,Land,BAU_noES,0.85374164581
Oceania,Land,BAU_noES,-4.23744961153716E-0004
Oth_CEE_CIS,Land,BAU_noES,4.22376440837979E-0004
Oth_Europe,Land,BAU_noES,-1.25772703904659E-0003
PAK,Land,BAU_noES,0.1966367662
PHL,Land,BAU_noES,0.030551336706
POL,Land,BAU_noES,5.49067882820964E-0003
R_S_Asia,Land,BAU_noES,3.60118551179767E-0003
R_SE_Asia,Land,BAU_noES,0.16030007601
Russia,Land,BAU_noES,6.50265777949244E-0004
S_o_Amer,Land,BAU_noES,0.012381730601
S_S_AFR,Land,BAU_noES,0.15694662929
TUR,Land,BAU_noES,7.49062804970890E-0004
USA,Land,BAU_noES,-2.41400703089312E-0004
VNM,Land,BAU_noES,0.10783471167
XAC,Land,BAU_noES,0.56336086988
ZAF,Land,BAU_noES,0.031588140875
World,Land,BAU_noES,0.02637594007
ARG,UnSkLab,BAU_noES,6.9700737
BGD,UnSkLab,BAU_noES,7.2144465446
BRAZIL,UnSkLab,BAU_noES,4.2559018135
C_C_Amer,UnSkLab,BAU_noES,6.4274682999
CAN,UnSkLab,BAU_noES,3.2895190716
CHIHKG,UnSkLab,BAU_noES,-1.473043561
COL,UnSkLab,BAU_noES,4.6326050758
E_Asia,UnSkLab,BAU_noES,5.532679081
EGY,UnSkLab,BAU_noES,5.2403020859
ETH,UnSkLab,BAU_noES,6.7584781647
EU27,UnSkLab,BAU_noES,-0.4713730216
IDN,UnSkLab,BAU_noES,4.7871870995
INDIA,UnSkLab,BAU_noES,6.6852293015
JAPAN,UnSkLab,BAU_noES,-1.0058019161
KOR,UnSkLab,BAU_noES,1.2191518545
MAR,UnSkLab,BAU_noES,2.6144871712
MDG,UnSkLab,BAU_noES,12.891747475
MEAS_NAfr,UnSkLab,BAU_noES,3.8461589813
MEX,UnSkLab,BAU_noES,1.7394690514
MYS,UnSkLab,BAU_noES,5.017885685
NGA,UnSkLab,BAU_noES,9.4198064804
Oceania,UnSkLab,BAU_noES,7.0319957733
Oth_CEE_CIS,UnSkLab,BAU_noES,0.012827783823
Oth_Europe,UnSkLab,BAU_noES,1.0772395134
PAK,UnSkLab,BAU_noES,1.3867837191
PHL,UnSkLab,BAU_noES,5.6178536415
POL,UnSkLab,BAU_noES,-1.266292572
R_S_Asia,UnSkLab,BAU_noES,4.6672692299
R_SE_Asia,UnSkLab,BAU_noES,2.2018296719
Russia,UnSkLab,BAU_noES,-1.0898218155
S_o_Amer,UnSkLab,BAU_noES,5.6195821762
S_S_AFR,UnSkLab,BAU_noES,10.574291229
TUR,UnSkLab,BAU_noES,4.9843840599
USA,UnSkLab,BAU_noES,2.1024799347
VNM,UnSkLab,BAU_noES,1.3391079903
XAC,UnSkLab,BAU_noES,7.7588596344
ZAF,UnSkLab,BAU_noES,5.5623979568
World,UnSkLab,BAU_noES,1.5274053812
ARG,SkLab,BAU_noES,12.937504768
BGD,SkLab,BAU_noES,12.01791954
BRAZIL,SkLab,BAU_noES,23.592683792
C_C_Amer,SkLab,BAU_noES,14.380586624
CAN,SkLab,BAU_noES,14.454724312
CHIHKG,SkLab,BAU_noES,23.037244797
COL,SkLab,BAU_noES,20.263454437
E_Asia,SkLab,BAU_noES,3.2914290428
EGY,SkLab,BAU_noES,28.022169113
ETH,SkLab,BAU_noES,-0.53864634037
EU27,SkLab,BAU_noES,15.231660843
IDN,SkLab,BAU_noES,46.960731506
INDIA,SkLab,BAU_noES,25.30210495
JAPAN,SkLab,BAU_noES,10.412538528
KOR,SkLab,BAU_noES,9.110250473
MAR,SkLab,BAU_noES,47.769069672
MDG,SkLab,BAU_noES,-41.440155029
MEAS_NAfr,SkLab,BAU_noES,11.01607132
MEX,SkLab,BAU_noES,5.9352216721
MYS,SkLab,BAU_noES,15.176691055
NGA,SkLab,BAU_noES,73.324440002
Oceania,SkLab,BAU_noES,-6.9334931374
Oth_CEE_CIS,SkLab,BAU_noES,7.3707437515
Oth_Europe,SkLab,BAU_noES,17.242567062
PAK,SkLab,BAU_noES,10.062955856
PHL,SkLab,BAU_noES,9.6059894562
POL,SkLab,BAU_noES,15.371460915
R_S_Asia,SkLab,BAU_noES,2.6406366825
R_SE_Asia,SkLab,BAU_noES,26.121042252
Russia,SkLab,BAU_noES,-12.194132805
S_o_Amer,SkLab,BAU_noES,15.363563538
S_S_AFR,SkLab,BAU_noES,25.591629028
TUR,SkLab,BAU_noES,10.567399025
USA,SkLab,BAU_noES,-10.589647293
VNM,SkLab,BAU_noES,37.052284241
XAC,SkLab,BAU_noES,29.936687469
ZAF,SkLab,BAU_noES,18.234279633
World,SkLab,BAU_noES,10.411961555
ARG,Capital,BAU_noES,55.084098816
BGD,Capital,BAU_noES,61.13243103
BRAZIL,Capital,BAU_noES,47.15348053
C_C_Amer,Capital,BAU_noES,76.739624023
CAN,Capital,BAU_noES,36.117988586
CHIHKG,Capital,BAU_noES,120.23936462
COL,Capital,BAU_noES,50.107444763
E_Asia,Capital,BAU_noES,150.83544922
EGY,Capital,BAU_noES,109.8904953
ETH,Capital,BAU_noES,60.981510162
EU27,Capital,BAU_noES,32.258506775
IDN,Capital,BAU_noES,57.215232849
INDIA,Capital,BAU_noES,83.982841492
JAPAN,Capital,BAU_noES,28.338205338
KOR,Capital,BAU_noES,77.902984619
MAR,Capital,BAU_noES,42.876911163
MDG,Capital,BAU_noES,7.9112644196
MEAS_NAfr,Capital,BAU_noES,62.782260895
MEX,Capital,BAU_noES,79.802650452
MYS,Capital,BAU_noES,89.784126282
NGA,Capital,BAU_noES,66.034759521
Oceania,Capital,BAU_noES,44.233753204
Oth_CEE_CIS,Capital,BAU_noES,77.693473816
Oth_Europe,Capital,BAU_noES,39.948471069
PAK,Capital,BAU_noES,89.8826828
PHL,Capital,BAU_noES,117.99275208
POL,Capital,BAU_noES,85.182617188
R_S_Asia,Capital,BAU_noES,85.583007813
R_SE_Asia,Capital,BAU_noES,89.491439819
Russia,Capital,BAU_noES,58.786499023
S_o_Amer,Capital,BAU_noES,55.082630157
S_S_AFR,Capital,BAU_noES,66.739204407
TUR,Capital,BAU_noES,113.78961945
USA,Capital,BAU_noES,21.948030472
VNM,Capital,BAU_noES,78.937149048
XAC,Capital,BAU_noES,107.17922974
ZAF,Capital,BAU_noES,63.820316315
World,Capital,BAU_noES,55.407253265
ARG,NatRes,BAU_noES,-9.53817334448104E-0007
BGD,NatRes,BAU_noES,6.53656343274633E-0007
BRAZIL,NatRes,BAU_noES,-1.05526657989685E-0006
C_C_Amer,NatRes,BAU_noES,-7.91343802120537E-0004
CAN,NatRes,BAU_noES,9.16882754609105E-0007
CHIHKG,NatRes,BAU_noES,6.53959159535589E-0006
COL,NatRes,BAU_noES,2.13106932278606E-0006
E_Asia,NatRes,BAU_noES,-3.51957896782551E-0005
EGY,NatRes,BAU_noES,-9.08398476440198E-0007
ETH,NatRes,BAU_noES,6.83751977703650E-0007
EU27,NatRes,BAU_noES,-1.07799598481506E-0004
IDN,NatRes,BAU_noES,3.68124290162086E-0007
INDIA,NatRes,BAU_noES,-1.16019464257988E-0007
JAPAN,NatRes,BAU_noES,2.98134992249288E-0008
KOR,NatRes,BAU_noES,5.17386411047482E-0007
MAR,NatRes,BAU_noES,-2.16972296129825E-0007
MDG,NatRes,BAU_noES,-1.33052401452005E-0006
MEAS_NAfr,NatRes,BAU_noES,-1.82640505954623E-0004
MEX,NatRes,BAU_noES,-1.30671025999618E-0007
MYS,NatRes,BAU_noES,-5.01568763411342E-0007
NGA,NatRes,BAU_noES,-1.92118773156835E-0006
Oceania,NatRes,BAU_noES,1.91157625522465E-0004
Oth_CEE_CIS,NatRes,BAU_noES,-1.06018105725525E-0005
Oth_Europe,NatRes,BAU_noES,1.95130542124389E-0005
PAK,NatRes,BAU_noES,2.28754811359977E-0006
PHL,NatRes,BAU_noES,-2.53958830853662E-0007
POL,NatRes,BAU_noES,-3.97173295141329E-0007
R_S_Asia,NatRes,BAU_noES,-8.24818154796958E-0004
R_SE_Asia,NatRes,BAU_noES,9.97396069578826E-0004
Russia,NatRes,BAU_noES,-3.59754267265089E-0007
S_o_Amer,NatRes,BAU_noES,2.65759881585836E-0004
S_S_AFR,NatRes,BAU_noES,-4.78803599253297E-0003
TUR,NatRes,BAU_noES,-4.05695708138865E-0008
USA,NatRes,BAU_noES,-1.21877988590313E-0007
VNM,NatRes,BAU_noES,1.82736323495192E-0006
XAC,NatRes,BAU_noES,5.28480654793384E-0007
ZAF,NatRes,BAU_noES,-1.25351971291821E-0006
World,NatRes,BAU_noES,-6.14049276919104E-0005
ARG,IndTaxes,BAU_noES,4.5250382423
BGD,IndTaxes,BAU_noES,1.5259944201
BRAZIL,IndTaxes,BAU_noES,5.4736180305
C_C_Amer,IndTaxes,BAU_noES,4.8602128029
CAN,IndTaxes,BAU_noES,5.0634713173
CHIHKG,IndTaxes,BAU_noES,9.6714344025
COL,IndTaxes,BAU_noES,3.3153748512
E_Asia,IndTaxes,BAU_noES,3.5878109932
EGY,IndTaxes,BAU_noES,4.0041189194
ETH,IndTaxes,BAU_noES,2.1904962063
EU27,IndTaxes,BAU_noES,3.3307328224
IDN,IndTaxes,BAU_noES,3.5014548302
INDIA,IndTaxes,BAU_noES,4.5858578682
JAPAN,IndTaxes,BAU_noES,1.6704843044
KOR,IndTaxes,BAU_noES,5.0187082291
MAR,IndTaxes,BAU_noES,3.0261440277
MDG,IndTaxes,BAU_noES,0.52515500784
MEAS_NAfr,IndTaxes,BAU_noES,3.5893194675
MEX,IndTaxes,BAU_noES,4.2291784286
MYS,IndTaxes,BAU_noES,3.6603775024
NGA,IndTaxes,BAU_noES,5.1258835793
Oceania,IndTaxes,BAU_noES,4.5214800835
Oth_CEE_CIS,IndTaxes,BAU_noES,6.3687896729
Oth_Europe,IndTaxes,BAU_noES,3.6138188839
PAK,IndTaxes,BAU_noES,1.8920038939
PHL,IndTaxes,BAU_noES,5.9843821526
POL,IndTaxes,BAU_noES,5.5038938522
R_S_Asia,IndTaxes,BAU_noES,6.7647066116
R_SE_Asia,IndTaxes,BAU_noES,5.0737934113
Russia,IndTaxes,BAU_noES,6.5245132446
S_o_Amer,IndTaxes,BAU_noES,3.7446033955
S_S_AFR,IndTaxes,BAU_noES,6.8747415543
TUR,IndTaxes,BAU_noES,6.8460912704
USA,IndTaxes,BAU_noES,1.0317265987
VNM,IndTaxes,BAU_noES,10.135680199
XAC,IndTaxes,BAU_noES,8.2887239456
ZAF,IndTaxes,BAU_noES,7.0764884949
World,IndTaxes,BAU_noES,4.2910871506
ARG,TechChange,BAU_noES,6.1414246559
BGD,TechChange,BAU_noES,20.042377472
BRAZIL,TechChange,BAU_noES,3.5167813301
C_C_Amer,TechChange,BAU_noES,9.4047584534
CAN,TechChange,BAU_noES,12.114547729
CHIHKG,TechChange,BAU_noES,27.668373108
COL,TechChange,BAU_noES,-2.1471898556
E_Asia,TechChange,BAU_noES,23.10133934
EGY,TechChange,BAU_noES,20.858736038
ETH,TechChange,BAU_noES,19.971061707
EU27,TechChange,BAU_noES,3.8109049797
IDN,TechChange,BAU_noES,1.5636529922
INDIA,TechChange,BAU_noES,28.783641815
JAPAN,TechChange,BAU_noES,3.2615938187
KOR,TechChange,BAU_noES,12.775102615
MAR,TechChange,BAU_noES,10.054449081
MDG,TechChange,BAU_noES,29.583683014
MEAS_NAfr,TechChange,BAU_noES,1.155985713
MEX,TechChange,BAU_noES,4.0844426155
MYS,TechChange,BAU_noES,10.18751812
NGA,TechChange,BAU_noES,36.628601074
Oceania,TechChange,BAU_noES,17.832183838
Oth_CEE_CIS,TechChange,BAU_noES,24.728849411
Oth_Europe,TechChange,BAU_noES,2.4667055607
PAK,TechChange,BAU_noES,10.548495293
PHL,TechChange,BAU_noES,17.707607269
POL,TechChange,BAU_noES,12.467461586
R_S_Asia,TechChange,BAU_noES,11.754827499
R_SE_Asia,TechChange,BAU_noES,4.832470417
Russia,TechChange,BAU_noES,18.388805389
S_o_Amer,TechChange,BAU_noES,5.2105522156
S_S_AFR,TechChange,BAU_noES,21.207603455
TUR,TechChange,BAU_noES,9.9674978256
USA,TechChange,BAU_noES,12.875083923
VNM,TechChange,BAU_noES,13.994544983
XAC,TechChange,BAU_noES,26.406356812
ZAF,TechChange,BAU_noES,9.1097412109
World,TechChange,BAU_noES,12.327248573
ARG,Land,BAU_aES,-6.14759803283960E-0004
BGD,Land,BAU_aES,-0.045514181256
BRAZIL,Land,BAU_aES,-7.09073210600764E-0004
C_C_Amer,Land,BAU_aES,-2.33172858133912E-0003
CAN,Land,BAU_aES,8.57397299114382E-0006
CHIHKG,Land,BAU_aES,1.55701200128533E-0004
COL,Land,BAU_aES,-2.28761299513280E-0003
E_Asia,Land,BAU_aES,-9.89202362688957E-0006
EGY,Land,BAU_aES,9.60033270530403E-0004
ETH,Land,BAU_aES,0.011774754152
EU27,Land,BAU_aES,5.18998713232577E-0004
IDN,Land,BAU_aES,0.051031149924
INDIA,Land,BAU_aES,-1.62001629360020E-0003
JAPAN,Land,BAU_aES,2.41275134612806E-0004
KOR,Land,BAU_aES,-2.90456024231389E-0004
MAR,Land,BAU_aES,-2.88793584331870E-0004
MDG,Land,BAU_aES,1.81529379915446E-0004
MEAS_NAfr,Land,BAU_aES,-4.46287922386546E-0005
MEX,Land,BAU_aES,-3.29045316902921E-0004
MYS,Land,BAU_aES,-0.011832660064
NGA,Land,BAU_aES,-5.24119008332491E-0003
Oceania,Land,BAU_aES,-3.86236875783652E-0004
Oth_CEE_CIS,Land,BAU_aES,1.91949453437701E-0004
Oth_Europe,Land,BAU_aES,7.70974555052817E-0004
PAK,Land,BAU_aES,-3.48543887957931E-0003
PHL,Land,BAU_aES,-6.24411768512800E-0005
POL,Land,BAU_aES,-1.40702337375842E-0004
R_S_Asia,Land,BAU_aES,-2.33444050536491E-0004
R_SE_Asia,Land,BAU_aES,-7.07178888842463E-0003
Russia,Land,BAU_aES,-2.25842726649717E-0004
S_o_Amer,Land,BAU_aES,-8.99956503417343E-0004
S_S_AFR,Land,BAU_aES,-1.24988425523043E-0003
TUR,Land,BAU_aES,1.08292115328368E-0005
USA,Land,BAU_aES,9.38919329200871E-0005
VNM,Land,BAU_aES,-6.81098038330674E-0003
XAC,Land,BAU_aES,0.014961940236
ZAF,Land,BAU_aES,-4.69935446744785E-0004
World,Land,BAU_aES,3.02207219647244E-0004
ARG,UnSkLab,BAU_aES,5.05856201371557E-0009
BGD,UnSkLab,BAU_aES,-3.06476732880867E-0009
BRAZIL,UnSkLab,BAU_aES,4.46906005890924E-0006
C_C_Amer,UnSkLab,BAU_aES,3.46902699675411E-0004
CAN,UnSkLab,BAU_aES,1.39713256430696E-0005
CHIHKG,UnSkLab,BAU_aES,-1.92331572179683E-0004
COL,UnSkLab,BAU_aES,-2.99370412903954E-0008
E_Asia,UnSkLab,BAU_aES,3.95935901906341E-0004
EGY,UnSkLab,BAU_aES,-1.41300384726151E-0008
ETH,UnSkLab,BAU_aES,1.77507729404169E-0007
