AACT,AREGWLD,RACTRES,SCEN,Value
MinManuf,MidIncome,qo,SRLand,9.12144687026739E-0003
Services,MidIncome,qo,SRLand,0.030214795843
AgrFishFor,LowIncome,qo,SRLand,-0.10652402788
MinManuf,LowIncome,qo,SRLand,0.012970825657
Services,LowIncome,qo,SRLand,9.72627662122250E-0003
AgrFishFor,World,qo,SRLand,-0.045118108392
MinManuf,World,qo,SRLand,0.012066377327
Services,World,qo,SRLand,0.019135871902
AgrFishFor,HighIncome,po,SRnD20,-1.6773108244
MinManuf,HighIncome,po,SRnD20,0.27579137683
Services,HighIncome,po,SRnD20,0.11446049064
AgrFishFor,MidIncome,po,SRnD20,-1.5962748528
MinManuf,MidIncome,po,SRnD20,0.27027183771
Services,MidIncome,po,SRnD20,0.2112994343
AgrFishFor,LowIncome,po,SRnD20,-0.38022187352
MinManuf,LowIncome,po,SRnD20,0.21876683831
Services,LowIncome,po,SRnD20,0.1243942678
AgrFishFor,World,po,SRnD20,0.23500347137
MinManuf,World,po,SRnD20,0.028361029923
Services,World,po,SRnD20,0.041949566454
AgrFishFor,HighIncome,qo,SRnD20,0.66990536451
MinManuf,HighIncome,qo,SRnD20,-0.049543596804
Services,HighIncome,qo,SRnD20,0.13690896332
AgrFishFor,MidIncome,qo,SRnD20,0.48359999061
MinManuf,MidIncome,qo,SRnD20,5.50242094323039E-0003
Services,MidIncome,qo,SRnD20,0.07395222038
AgrFishFor,LowIncome,qo,SRnD20,-0.40757405758
MinManuf,LowIncome,qo,SRnD20,0.073905773461
Services,LowIncome,qo,SRnD20,0.015574527904
AgrFishFor,World,qo,SRnD20,0.23500347137
MinManuf,World,qo,SRnD20,0.028361029923
Services,World,qo,SRnD20,0.041949566454
AgrFishFor,HighIncome,po,GPESSRRnD20,-1.0079504251
MinManuf,HighIncome,po,GPESSRRnD20,0.27652177215
Services,HighIncome,po,GPESSRRnD20,0.15083953738
AgrFishFor,MidIncome,po,GPESSRRnD20,-1.2179610729
MinManuf,MidIncome,po,GPESSRRnD20,0.25433540344
Services,MidIncome,po,GPESSRRnD20,0.21588274837
AgrFishFor,LowIncome,po,GPESSRRnD20,-0.2519146502
MinManuf,LowIncome,po,GPESSRRnD20,0.16992364824
Services,LowIncome,po,GPESSRRnD20,0.063932336867
AgrFishFor,World,po,GPESSRRnD20,0.18086065352
MinManuf,World,po,GPESSRRnD20,0.028848018497
Services,World,po,GPESSRRnD20,0.038609586656
AgrFishFor,HighIncome,qo,GPESSRRnD20,0.52340447903
MinManuf,HighIncome,qo,GPESSRRnD20,-0.1264115423
Services,HighIncome,qo,GPESSRRnD20,0.16052319109
AgrFishFor,MidIncome,qo,GPESSRRnD20,0.40695974231
MinManuf,MidIncome,qo,GPESSRRnD20,-0.030313516036
Services,MidIncome,qo,GPESSRRnD20,0.084427066147
AgrFishFor,LowIncome,qo,GPESSRRnD20,-0.39449462295
MinManuf,LowIncome,qo,GPESSRRnD20,0.14391535521
Services,LowIncome,qo,GPESSRRnD20,1.37536099646240E-0003
AgrFishFor,World,qo,GPESSRRnD20,0.18086065352
MinManuf,World,qo,GPESSRRnD20,0.028848018497
Services,World,qo,GPESSRRnD20,0.038609586656
AgrFishFor,HighIncome,po,BAU_aESRigid,1.7878707647
MinManuf,HighIncome,po,BAU_aESRigid,1.2580418587
Services,HighIncome,po,BAU_aESRigid,-0.25035372376
AgrFishFor,MidIncome,po,BAU_aESRigid,2.171546936
MinManuf,MidIncome,po,BAU_aESRigid,1.103679657
Services,MidIncome,po,BAU_aESRigid,-0.20462362468
AgrFishFor,LowIncome,po,BAU_aESRigid,0.046428672969
MinManuf,LowIncome,po,BAU_aESRigid,0.69399648905
Services,LowIncome,po,BAU_aESRigid,-0.13531425595
AgrFishFor,World,po,BAU_aESRigid,-0.26616710424
MinManuf,World,po,BAU_aESRigid,-0.10323996842
Services,World,po,BAU_aESRigid,1.87235884368420E-0003
AgrFishFor,HighIncome,qo,BAU_aESRigid,-0.23172354698
MinManuf,HighIncome,qo,BAU_aESRigid,-0.98355221748
Services,HighIncome,qo,BAU_aESRigid,0.14462946355
AgrFishFor,MidIncome,qo,BAU_aESRigid,-0.41550976038
MinManuf,MidIncome,qo,BAU_aESRigid,-0.18097473681
Services,MidIncome,qo,BAU_aESRigid,0.018966658041
AgrFishFor,LowIncome,qo,BAU_aESRigid,0.066638186574
MinManuf,LowIncome,qo,BAU_aESRigid,0.089896284044
Services,LowIncome,qo,BAU_aESRigid,-0.015737270936
AgrFishFor,World,qo,BAU_aESRigid,-0.26616710424
MinManuf,World,qo,BAU_aESRigid,-0.10323996842
Services,World,qo,BAU_aESRigid,1.87235884368420E-0003
AgrFishFor,HighIncome,po,BAU_aECOLLPS,117.76395416
MinManuf,HighIncome,po,BAU_aECOLLPS,3.8586103916
Services,HighIncome,po,BAU_aECOLLPS,-6.0337877274
AgrFishFor,MidIncome,po,BAU_aECOLLPS,69.064239502
MinManuf,MidIncome,po,BAU_aECOLLPS,0.89388388395
Services,MidIncome,po,BAU_aECOLLPS,-6.453909874
AgrFishFor,LowIncome,po,BAU_aECOLLPS,32.668857574
MinManuf,LowIncome,po,BAU_aECOLLPS,-0.38259604573
Services,LowIncome,po,BAU_aECOLLPS,-2.0481462479
AgrFishFor,World,po,BAU_aECOLLPS,-8.9015235901
MinManuf,World,po,BAU_aECOLLPS,-1.2477192879
Services,World,po,BAU_aECOLLPS,-0.402669698
AgrFishFor,HighIncome,qo,BAU_aECOLLPS,-11.398389816
MinManuf,HighIncome,qo,BAU_aECOLLPS,-15.561532021
Services,HighIncome,qo,BAU_aECOLLPS,0.21962709725
AgrFishFor,MidIncome,qo,BAU_aECOLLPS,-11.276568413
MinManuf,MidIncome,qo,BAU_aECOLLPS,-1.9766169786
Services,MidIncome,qo,BAU_aECOLLPS,-0.63183802366
AgrFishFor,LowIncome,qo,BAU_aECOLLPS,-2.2768249512
MinManuf,LowIncome,qo,BAU_aECOLLPS,0.96103525162
Services,LowIncome,qo,BAU_aECOLLPS,-0.26612976193
AgrFishFor,World,qo,BAU_aECOLLPS,-8.9015235901
MinManuf,World,qo,BAU_aECOLLPS,-1.2477192879
Services,World,qo,BAU_aECOLLPS,-0.402669698
